"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2018,2,"SECRETARIADO EXECUTIVO","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2019,2,"FILOSOFIA","NOVA MODALIDADE/HABILITAÇÃO"
2019,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2019,1,"SECRETARIADO EXECUTIVO","SELEÇÃO SISU"
2019,2,"SECRETARIADO EXECUTIVO","MUDANCA DE CURSO"
2019,1,"PEDAGOGIA (DIURNO)","SELEÇÃO SISU"
2019,2,"GESTÃO DE POLÍTICAS PÚBLICAS","MUDANCA DE CURSO"
2019,1,"ENGENHARIA DE SOFTWARE","SELEÇÃO SISU"
2019,2,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2018,2,"LETRAS","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ALIMENTOS","SELEÇÃO SISU"
2018,2,"ODONTOLOGIA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2018,2,"LETRAS","SELEÇÃO SISU"
2019,1,"ENFERMAGEM","SELEÇÃO SISU"
2019,2,"ADMINISTRAÇÃO (NOTURNO)","SELEÇÃO SISU"
2018,2,"ESTATÍSTICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2018,2,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2018,2,"ENFERMAGEM","SELEÇÃO SISU"
2019,1,"QUÍMICA - BACHARELADO","SELEÇÃO SISU"
